Customer										
Analysis										
Report										
CustomerID	CompanyName	ContactName	Country	Region	City	Address	PostalCode	Phone	Fax	ContactTitle
LAMAI	La maison d'Asie	Annette Roulet	France		Toulouse	1 rue Alsace-Lorraine	31000	61.77.61.10	61.77.61.11	Sales Manager
LAZYK	Lazy K Kountry Store	John Steel	USA	WA	Walla Walla	12 Orchestra Terrace	99362	(509) 555-7969	(509) 555-6221	Marketing Manager
BONAP	Bon app'	Laurence Lebihan	France		Marseille	"12, rue des Bouchers"	13008	91.24.45.40	91.24.45.41	Owner
AROUT	Around the Horn	Thomas Hardy	UK		London	120 Hanover Sq.	WA1 1DP	(171) 555-7788	(171) 555-6750	Sales Representative
FOLIG	Folies gourmandes	Martine Rancé	France		Lille	"184, chaussée de Tournai"	59000	20.16.10.16	20.16.10.17	Assistant Sales Agent
SAVEA	Save-a-lot Markets	Jose Pavarotti	USA	ID	Boise	187 Suffolk Ln.	83720	(208) 555-8097		Sales Representative
LAUGB	Laughing Bacchus Wine Cellars	Yoshi Tannamuri	Canada	BC	Vancouver	1900 Oak St.	V3F 2K1	(604) 555-3392	(604) 555-7293	Marketing Assistant
VICTE	Victuailles en stock	Mary Saveley	France		Lyon	"2, rue du Commerce"	69004	78.32.54.86	78.32.54.87	Sales Agent
BOTTM	Bottom-Dollar Markets	Elizabeth Lincoln	Canada	BC	Tsawassen	23 Tsawassen Blvd.	T2F 8M4	(604) 555-4729	(604) 555-3745	Accounting Manager
BLONP	Blondesddsl père et fils	Frédérique Citeaux	France		Strasbourg	"24, place Kléber"	67000	88.60.15.31	88.60.15.32	Marketing Manager
SPECD	Spécialités du monde	Dominique Perrier	France		Paris	"25, rue Lauriston"	75016	(1) 47.55.60.10	(1) 47.55.60.20	Marketing Manager
PARIS	Paris spécialités	Marie Bertrand	France		Paris	"265, boulevard Charonne"	75012	(1) 42.34.22.66	(1) 42.34.22.77	Owner
GREAL	Great Lakes Food Market	Howard Snyder	USA	OR	Eugene	2732 Baker Blvd.	97403	(503) 555-7555		Marketing Manager
OLDWO	Old World Delicatessen	Rene Phillips	USA	AK	Anchorage	2743 Bering St.	99508	(907) 555-7584	(907) 555-2880	Sales Representative
RATTC	Rattlesnake Canyon Grocery	Paula Wilson	USA	NM	Albuquerque	2817 Milton Dr.	87110	(505) 555-5939	(505) 555-3620	Assistant Sales Representative
WHITC	White Clover Markets	Karl Jablonski	USA	WA	Seattle	305 - 14th Ave. S. Suite 3B	98128	(206) 555-4112	(206) 555-4115	Owner
EASTC	Eastern Connection	Ann Devon	UK		London	35 King George	WX3 6FW	(171) 555-0297	(171) 555-3373	Sales Agent
MEREP	Mère Paillarde	Jean Fresnière	Canada	Québec	Montréal	43 rue St. Laurent	H1J 1C3	(514) 555-8054	(514) 555-8055	Marketing Assistant
FRANR	France restauration	Carine Schmitt	France		Nantes	"54, rue Royale"	44000	40.32.21.21	40.32.21.20	Marketing Manager
THECR	The Cracker Box	Liu Wong	USA	MT	Butte	55 Grizzly Peak Rd.	59801	(406) 555-5834	(406) 555-8083	Marketing Assistant
VINET	Vins et alcools Chevalier	Paul Henriot	France		Reims	59 rue de l'Abbaye	51100	26.47.15.10	26.47.15.11	Accounting Manager
GROSR	GROSELLA-Restaurante	Manuel Pereira	Venezuela	DF	Caracas	5ª Ave. Los Palos Grandes	1081	(2) 283-2951	(2) 283-3397	Owner
LACOR	La corne d'abondance	Daniel Tonini	France		Versailles	"67, avenue de l'Europe"	78000	30.59.84.10	30.59.85.11	Sales Representative
DUMON	Du monde entier	Janine Labrune	France		Nantes	"67, rue des Cinquante Otages"	44000	40.67.88.88	40.67.89.89	Owner
TRAIH	Trail's Head Gourmet Provisioners	Helvetius Nagy	USA	WA	Kirkland	722 DaVinci Blvd.	98034	(206) 555-8257	(206) 555-2174	Sales Associate
HUNGO	Hungry Owl All-Night Grocers	Patricia McKenna	Ireland	Co. Cork	Cork	8 Johnstown Road		2967 542	2967 3333	Sales Associate
LETSS	Let's Stop N Shop	Jaime Yorres	USA	CA	San Francisco	87 Polk St. Suite 5	94117	(415) 555-5938		Owner
LONEP	Lonesome Pine Restaurant	Fran Wilson	USA	OR	Portland	89 Chiaroscuro Rd.	97219	(503) 555-9573	(503) 555-9646	Sales Manager
